epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,6522.23,0.85224,0.59151,1.31258,0.95742,0.96705,0.98906,0.77224,0.8349,0.38251,1.23086,0.00436585,0.00436585,0.00436585
72,6614.06,0.84402,0.60606,1.31146,0.97051,0.95559,0.98814,0.7739,0.83045,0.37705,1.23465,0.00428537,0.00428537,0.00428537
73,6705.89,0.83971,0.58074,1.30694,0.96623,0.96332,0.98918,0.77203,0.83803,0.39334,1.23179,0.00420488,0.00420488,0.00420488
74,6797.74,0.83181,0.57607,1.30628,0.97514,0.95989,0.98896,0.77673,0.82832,0.36476,1.22635,0.00412439,0.00412439,0.00412439
75,6889.51,0.83355,0.58276,1.30308,0.97337,0.96347,0.98992,0.7813,0.81757,0.36577,1.21864,0.0040439,0.0040439,0.0040439
76,6981.28,0.81543,0.57846,1.29477,0.96707,0.9649,0.99027,0.78684,0.80288,0.3733,1.19634,0.00396341,0.00396341,0.00396341
77,7073.23,0.8217,0.56702,1.29765,0.97583,0.96777,0.99025,0.78101,0.80186,0.35531,1.19821,0.00388293,0.00388293,0.00388293
78,7165.04,0.8236,0.55921,1.29375,0.97777,0.96633,0.98886,0.77709,0.81907,0.36082,1.20867,0.00380244,0.00380244,0.00380244
79,7256.74,0.81365,0.56548,1.29438,0.96322,0.97555,0.98976,0.78409,0.80057,0.35242,1.19405,0.00372195,0.00372195,0.00372195
80,7348.55,0.78832,0.55109,1.27776,0.97603,0.96254,0.98973,0.78456,0.79104,0.34601,1.18586,0.00364146,0.00364146,0.00364146
81,7440.36,0.80949,0.5567,1.28841,0.97546,0.9683,0.98994,0.79055,0.79158,0.34694,1.18308,0.00356098,0.00356098,0.00356098
82,7532.21,0.80135,0.55319,1.28606,0.9765,0.9606,0.98947,0.79593,0.79494,0.34925,1.18383,0.00348049,0.00348049,0.00348049
83,7623.99,0.79682,0.54552,1.2812,0.97685,0.96347,0.98983,0.78769,0.80232,0.35288,1.19805,0.0034,0.0034,0.0034
84,7715.84,0.78886,0.55326,1.27882,0.96912,0.96705,0.98942,0.78941,0.78804,0.35605,1.18025,0.00331951,0.00331951,0.00331951
85,7807.6,0.79396,0.54033,1.277,0.97891,0.96435,0.99044,0.79507,0.78925,0.35082,1.18476,0.00323902,0.00323902,0.00323902
86,7899.41,0.78466,0.53903,1.27607,0.97703,0.96132,0.99063,0.79577,0.77486,0.34459,1.17623,0.00315854,0.00315854,0.00315854
87,7991.45,0.77487,0.52974,1.26277,0.96591,0.97206,0.99116,0.79662,0.77179,0.33891,1.17371,0.00307805,0.00307805,0.00307805
88,8083.6,0.76141,0.52385,1.25315,0.97564,0.96705,0.99028,0.80157,0.76079,0.33623,1.15853,0.00299756,0.00299756,0.00299756
89,8175.35,0.76946,0.52195,1.25788,0.97253,0.96379,0.99003,0.80605,0.75708,0.34738,1.15988,0.00291707,0.00291707,0.00291707
90,8267.08,0.76893,0.52241,1.25938,0.96643,0.96991,0.99066,0.79651,0.7743,0.35318,1.16801,0.00283659,0.00283659,0.00283659
91,8358.88,0.76544,0.52563,1.25727,0.96735,0.97779,0.99063,0.79909,0.76606,0.33493,1.16077,0.0027561,0.0027561,0.0027561
92,8450.64,0.75999,0.52173,1.25162,0.97001,0.97305,0.99198,0.80006,0.76743,0.33543,1.16484,0.00267561,0.00267561,0.00267561
93,8542.34,0.75767,0.52475,1.25103,0.96941,0.97135,0.99156,0.79965,0.76246,0.33402,1.16369,0.00259512,0.00259512,0.00259512
94,8634.14,0.75635,0.52143,1.25243,0.97246,0.96777,0.99131,0.79687,0.76897,0.33974,1.16492,0.00251463,0.00251463,0.00251463
95,8725.82,0.75646,0.50993,1.24435,0.97003,0.97493,0.9917,0.79712,0.77382,0.33857,1.1748,0.00243415,0.00243415,0.00243415
96,8817.57,0.75394,0.50699,1.24739,0.97142,0.9739,0.99189,0.80151,0.76066,0.32961,1.16116,0.00235366,0.00235366,0.00235366
97,8909.44,0.74621,0.50463,1.24819,0.97911,0.9692,0.99178,0.80563,0.75202,0.33062,1.15017,0.00227317,0.00227317,0.00227317
98,9001.37,0.74438,0.5051,1.24408,0.97411,0.97018,0.99202,0.80425,0.75772,0.32879,1.15484,0.00219268,0.00219268,0.00219268
99,9093.1,0.74083,0.49696,1.23973,0.97662,0.9692,0.99185,0.80375,0.75185,0.32111,1.14989,0.0021122,0.0021122,0.0021122
100,9185.08,0.72596,0.49594,1.22589,0.97765,0.97147,0.99207,0.80492,0.74751,0.31907,1.1475,0.00203171,0.00203171,0.00203171
101,9276.92,0.72919,0.49166,1.23063,0.97687,0.97135,0.99187,0.80562,0.74859,0.32087,1.14391,0.00195122,0.00195122,0.00195122
102,9368.69,0.73902,0.49255,1.23668,0.97456,0.97564,0.99176,0.80413,0.74332,0.31681,1.13946,0.00187073,0.00187073,0.00187073
103,9460.42,0.72889,0.4872,1.23121,0.97339,0.97779,0.99172,0.80244,0.74802,0.31703,1.14548,0.00179024,0.00179024,0.00179024
104,9552.21,0.72162,0.48012,1.22655,0.9708,0.97647,0.99159,0.80935,0.74537,0.32008,1.14218,0.00170976,0.00170976,0.00170976
105,9644.11,0.72378,0.48583,1.22374,0.97762,0.97001,0.99178,0.80711,0.74504,0.31716,1.14306,0.00162927,0.00162927,0.00162927
106,9736.05,0.70926,0.46852,1.21671,0.97973,0.97063,0.99192,0.80907,0.74137,0.31313,1.14005,0.00154878,0.00154878,0.00154878
107,9827.84,0.70934,0.47363,1.21296,0.97997,0.97493,0.9922,0.80937,0.7359,0.311,1.13838,0.00146829,0.00146829,0.00146829
108,9919.68,0.70503,0.4669,1.21171,0.98042,0.97708,0.992,0.81208,0.7354,0.31025,1.13771,0.0013878,0.0013878,0.0013878
109,10012,0.70902,0.47589,1.21557,0.98038,0.97564,0.99212,0.81208,0.73344,0.31124,1.13661,0.00130732,0.00130732,0.00130732
110,10106.1,0.70456,0.47372,1.21729,0.98131,0.97793,0.99212,0.81139,0.73738,0.3117,1.14234,0.00122683,0.00122683,0.00122683
111,10200.9,0.6868,0.46818,1.20191,0.98189,0.97097,0.99198,0.81042,0.74023,0.31488,1.14629,0.00114634,0.00114634,0.00114634
112,10294,0.69588,0.46346,1.20364,0.97916,0.97587,0.99216,0.815,0.73149,0.31306,1.13604,0.00106585,0.00106585,0.00106585
113,10388.2,0.68095,0.45331,1.19633,0.97707,0.97675,0.99209,0.81499,0.72944,0.31167,1.13115,0.000985366,0.000985366,0.000985366
114,10484.1,0.62178,0.3052,1.22916,0.97296,0.97948,0.99204,0.8133,0.7285,0.31389,1.13095,0.000904878,0.000904878,0.000904878
115,10631,0.58983,0.28007,1.1987,0.97836,0.97636,0.99153,0.8108,0.73025,0.31869,1.13241,0.00082439,0.00082439,0.00082439
116,10723.3,0.59175,0.27703,1.19321,0.97771,0.97415,0.99113,0.81139,0.72954,0.32186,1.13349,0.000743902,0.000743902,0.000743902
117,10815.5,0.59053,0.27666,1.19131,0.97541,0.97278,0.99073,0.81582,0.72641,0.31753,1.13247,0.000663415,0.000663415,0.000663415
118,10907.5,0.57092,0.27066,1.17633,0.97986,0.97206,0.99097,0.81623,0.72441,0.31257,1.13054,0.000582927,0.000582927,0.000582927
119,10999.7,0.57392,0.269,1.17921,0.9833,0.97022,0.99123,0.81738,0.72032,0.31119,1.12809,0.000502439,0.000502439,0.000502439
120,11091.7,0.57219,0.26535,1.17977,0.97914,0.97526,0.99152,0.81833,0.71943,0.30924,1.1268,0.000421951,0.000421951,0.000421951
121,11183.4,0.55349,0.26122,1.1668,0.9828,0.97063,0.9917,0.81755,0.71676,0.30732,1.12471,0.000341463,0.000341463,0.000341463
122,11275,0.55302,0.25964,1.16813,0.98257,0.96939,0.99122,0.81775,0.71575,0.30722,1.12421,0.000260976,0.000260976,0.000260976
123,11366.9,0.55625,0.25971,1.1635,0.97572,0.97874,0.99129,0.81784,0.71548,0.30588,1.12287,0.000180488,0.000180488,0.000180488
